分類,English,繁體中文譯法,備註
文件附錄已有詞彙,Anonymisation / Anonymization,匿名化,
文件附錄已有詞彙,Archival Resource Key (ARK),資源典藏碼,
文件附錄已有詞彙,Audit Trail,稽核軌跡,
文件附錄已有詞彙,Code of Conduct,行為準則,
文件附錄已有詞彙,Codebook,編碼簿,
文件附錄已有詞彙,Confidentiality,保密性,
文件附錄已有詞彙,Creator,創作者,
文件附錄已有詞彙,Criteria (of Selection),（選用）準則,
文件附錄已有詞彙,Data Authenticity,資料真實性,
文件附錄已有詞彙,Data Curation,資料策展,
文件附錄已有詞彙,Data Discovery,資料探索,
文件附錄已有詞彙,Data Integrity,資料完整性,
文件附錄已有詞彙,Data Management Plan (DMP),資料管理方案,
文件附錄已有詞彙,Data Provenance,資料溯源,
文件附錄已有詞彙,Data Retrieval,資料擷取,
文件附錄已有詞彙,Data Sharing,資料共享,
文件附錄已有詞彙,Data Subject,資料主體,
文件附錄已有詞彙,Database Directive,（歐盟）資料庫指令,
文件附錄已有詞彙,Digital Author Identifier (DAI),數位作者識別碼,
文件附錄已有詞彙,Digital Object Identifier (DOI),數位物件識別碼,
文件附錄已有詞彙,Evaluation Rubric,評量指標,
文件附錄已有詞彙,FAIR (Data) Principle,FAIR（資料）原則,
文件附錄已有詞彙,– Findable,– 可被找到,
文件附錄已有詞彙,– Accessible,– 可被取用,
文件附錄已有詞彙,– Interoperable,– 可相互操作,
文件附錄已有詞彙,– Reuseable,– 可再次使用,
文件附錄已有詞彙,Findable,可被找到,
文件附錄已有詞彙,Accessible,可被取用,
文件附錄已有詞彙,Interoperable,可相互操作,
文件附錄已有詞彙,Reusable / Re-useable,可再次使用,
文件附錄已有詞彙,International Standard Name Identifier (ISNI),國際標準名稱識別碼,
文件附錄已有詞彙,Lab Notebook,實驗室記錄本,
文件附錄已有詞彙,Licence / License,授權（條款）,
文件附錄已有詞彙,Metadata,後設資料,
文件附錄已有詞彙,Open Researcher and Contributor ID (ORCID),開放型研究者與貢獻者識別碼,
文件附錄已有詞彙,Persistent Identifier (PID),持續識別碼,
文件附錄已有詞彙,Protocol,協定,
文件附錄已有詞彙,Pseudonymisation / Pseudonymization,擬匿名化,
文件附錄已有詞彙,(Data) Repository,（資料）儲存庫,
文件附錄已有詞彙,Research Data Management (RDM),研究資料管理,
文件附錄已有詞彙,Reproducibility,可重現性,
文件附錄已有詞彙,Sui Generis Rights,特有權利,
文件附錄已有詞彙,Uniform Resource Name (URN),統一資源名稱,
內文補充常用詞彙,Open Science,開放科學,
內文補充常用詞彙,research data,研究資料,
內文補充常用詞彙,research outputs,研究成果,
內文補充常用詞彙,research project,研究計畫,
內文補充常用詞彙,research lifecycle,研究週期／研究計畫執行週期,
內文補充常用詞彙,project lifecycle,研究計畫週期,
內文補充常用詞彙,development phase,開發階段,
內文補充常用詞彙,implementation,實施／執行,
內文補充常用詞彙,RDM policies,研究資料管理政策,
內文補充常用詞彙,RDM policies and practices,研究資料管理政策與實踐,
內文補充常用詞彙,research funding organisation,研究資助機構,
內文補充常用詞彙,research performing organisation,執行研究的組織,
內文補充常用詞彙,research organisation,研究組織／研究機構,
內文補充常用詞彙,research community,研究社群,
內文補充常用詞彙,stakeholder,研究相關人士／利害關係人,
內文補充常用詞彙,reviewer,審查人員,
內文補充常用詞彙,individual researcher,個別研究人員,
內文補充常用詞彙,guidance,指引,
內文補充常用詞彙,guidance for researchers,給研究人員的指引,
內文補充常用詞彙,guidance for reviewers,給審查人員的指引,
內文補充常用詞彙,guidance for organisations,給機構的指引,
內文補充常用詞彙,core requirements,核心需求,
內文補充常用詞彙,DMP core requirements,DMP 核心需求／資料管理方案的核心需求,
內文補充常用詞彙,DMP template,DMP 範本／資料管理方案範本,
內文補充常用詞彙,DMP evaluation rubric,DMP 評量指標／資料管理方案的評量指標,
內文補充常用詞彙,evaluation and feedback,評估和回饋,
內文補充常用詞彙,performance levels,表現等級,
內文補充常用詞彙,Sufficiently Addressed,已充分陳述,
內文補充常用詞彙,Insufficiently Addressed,未充分陳述,
內文補充常用詞彙,checklist,檢查清單,
內文補充常用詞彙,ready-made tool,現成的工具,
內文補充常用詞彙,living document,活的文件,
內文補充常用詞彙,minimum requirements,最基本的要求／最低標準,
